x,y,label
0.9639688,0.972242,0
0.97856355,0.9810978,0
1.0,1.0,0
0.98403955,0.9908806,0
0.9876282,0.98758054,0
0.98722476,0.9869052,0
0.9673555,0.9776887,0
0.9770854,0.97998923,0
0.980661,0.9858618,0
0.9570397,0.9714149,0
0.9808864,0.98423314,0
0.99111956,0.99367034,0
0.9736716,0.9818524,0
0.9781422,0.983641,0
0.99738395,0.9921892,0
0.97353417,0.977894,0
0.98661774,0.9880967,0
0.9931122,0.9884318,0
0.9680771,0.98021525,0
0.97266316,0.9784903,0
0.97951895,0.9846405,0
0.9658649,0.97654974,0
0.96921515,0.97677803,0
0.9852928,0.9871924,0
0.9689967,0.9778466,0
0.990932,0.9921199,0
0.9969488,0.9943816,0
0.97817385,0.98730993,0
0.9697381,0.9790357,0
0.97716236,0.9852048,0
0.98239416,0.98582953,0
0.9778785,0.97987914,0
0.986897,0.9874921,0
0.9774316,0.9877947,0
0.99191356,0.99129784,0
0.97047883,0.9796591,0
0.9689965,0.9721288,0
0.9721268,0.9805893,0
0.97707814,0.9829161,0
0.9772724,0.982754,0
0.9625788,0.9760175,0
0.97542286,0.9785412,0
0.97109145,0.97766477,0
0.974933,0.9798789,0
0.981095,0.9828286,0
0.97674155,0.9842022,0
0.9741481,0.9742284,0
0.9764257,0.9801829,0
0.976632,0.9857491,0
0.9954944,0.9930533,0
0.9799428,0.98796105,0
0.98128444,0.9856819,0
0.98621005,0.98728585,0
0.9743154,0.9821149,0
0.9662763,0.9775027,0
0.9600412,0.9737631,0
0.9784035,0.983164,0
0.9676558,0.97714746,0
0.9704406,0.9829829,0
0.98913395,0.9894365,0
0.97465163,0.9780798,0
0.986893,0.9846934,0
0.9804196,0.9835769,0
0.97827214,0.98527443,0
0.9735823,0.9787146,0
0.9617511,0.9717923,0
0.99356973,0.9924092,0
0.9673617,0.97964734,0
0.9824222,0.98254323,0
0.9820504,0.985257,0
0.9716316,0.9770478,0
0.9886453,0.9883059,0
0.96922463,0.9770416,0
0.9844603,0.98867416,0
0.9717326,0.98051476,0
0.95495814,0.9692442,0
0.9840827,0.9851165,0
0.9781091,0.9817819,0
0.9885641,0.9937149,0
0.96849835,0.977736,0
0.9754534,0.9835099,0
0.99081635,0.9850742,0
0.97303677,0.9796838,0
0.981061,0.9895587,0
0.9744444,0.9810793,0
0.9763453,0.98408437,0
0.99051243,0.9913907,0
0.9925426,0.9957464,0
0.9879063,0.9928286,0
0.9788903,0.98441756,0
0.97741556,0.9828681,0
0.9796162,0.9808464,0
0.9845722,0.9864725,0
0.9644658,0.9746102,0
0.96801764,0.97277963,0
0.9821049,0.98563516,0
0.96025056,0.97583413,0
0.9855889,0.99009943,0
0.9751058,0.9814113,0
0.9712202,0.9754659,0
0.9822162,0.98746103,0
0.96997344,0.9803191,0
0.98347497,0.9865832,0
0.9775212,0.9847747,0
0.9772605,0.9809132,0
0.97056854,0.98052347,0
0.97472274,0.97926265,0
0.984501,0.9876777,0
0.97289234,0.9774554,0
0.97180694,0.97553813,0
0.99013984,0.9895378,0
0.97119474,0.9776841,0
0.9839307,0.9827574,0
0.97992414,0.98193765,0
0.96289295,0.96729606,0
0.9640034,0.9755955,0
0.9772868,0.9794833,0
0.97149223,0.9759377,0
0.9706853,0.98441684,0
0.9909293,0.9963329,0
0.96940875,0.9794816,0
0.9814228,0.98734045,0
0.97831815,0.9817138,0
0.98607635,0.990566,0
0.9662046,0.97694236,0
0.97892886,0.98256385,0
0.97593707,0.9853977,0
0.9822064,0.98279256,0
0.97737545,0.98063546,0
0.9589523,0.97105026,0
0.9825012,0.98327017,0
0.9843453,0.9843914,0
0.9713773,0.9787703,0
0.9676252,0.97864074,0
0.96723217,0.97736716,0
0.9686555,0.97293186,0
0.9815275,0.9857746,0
0.9582938,0.97124004,0
0.9678837,0.9796552,0
0.97421354,0.9818382,0
0.97484297,0.97988224,0
0.97071415,0.9757291,0
0.97013825,0.97709227,0
0.9925299,0.99186325,0
0.9778965,0.9805317,0
0.96860784,0.9789371,0
0.9796372,0.98184663,0
0.9882337,0.9898156,0
0.9712592,0.9780382,0
0.97133666,0.9781174,0
0.9697913,0.98166126,0
0.98236847,0.98878706,0
0.97776634,0.98412263,0
0.98213744,0.9821012,0
0.98499376,0.98521274,0
0.96989995,0.98041666,0
0.98207057,0.9818134,0
0.95918196,0.9720747,0
0.97355896,0.97865033,0
0.9639778,0.97310114,0
0.9836736,0.98653555,0
0.9775664,0.9843067,0
0.992066,0.9893319,0
0.96261495,0.972434,0
0.47876835,0.59095573,1
0.48596132,0.5979783,1
0.49023527,0.5973265,1
0.49265093,0.59726095,1
0.48140883,0.59477276,1
0.49869967,0.60070306,1
0.48437777,0.5926771,1
0.4965077,0.6005101,1
0.48427683,0.59447217,1
0.491855,0.5988117,1
0.49246165,0.596076,1
0.49032196,0.5980444,1
0.4866214,0.5968982,1
0.4935468,0.5977887,1
0.49003428,0.5958892,1
0.49337482,0.60025305,1
0.49445158,0.5985341,1
0.48586237,0.59548235,1
0.49370003,0.6010783,1
0.49421018,0.5990471,1
0.48444682,0.5953699,1
0.49050593,0.59693867,1
0.49119645,0.59598845,1
0.49100792,0.5965572,1
0.49296576,0.59727675,1
0.48960856,0.5959731,1
0.48450908,0.59639156,1
0.4963569,0.6026498,1
0.48455337,0.59284425,1
0.488864,0.600036,1
0.5003574,0.6011033,1
0.4912921,0.5966799,1
0.4921011,0.5986889,1
0.48391816,0.596484,1
0.49769443,0.6013955,1
0.48824823,0.5999466,1
0.4948237,0.5985852,1
0.4875068,0.5946796,1
0.49145508,0.5970921,1
0.4954421,0.5959589,1
0.4842862,0.59613454,1
0.49708465,0.60205233,1
0.48615718,0.59709615,1
0.49033135,0.59656996,1
0.48449814,0.5961457,1
0.49599785,0.5994174,1
0.4901635,0.5977562,1
0.48101658,0.5906919,1
0.49414286,0.59829545,1
0.4811713,0.5905927,1
0.48369333,0.5942052,1
0.48664832,0.5951941,1
0.4901863,0.595229,1
0.48227894,0.5908626,1
0.4939586,0.6017057,1
0.4892213,0.5980272,1
0.48969504,0.5955161,1
0.49539572,0.59809065,1
0.4943399,0.5988757,1
0.48577547,0.5970714,1
0.49170756,0.5985371,1
0.4917239,0.59758395,1
0.48395088,0.59514344,1
0.49661517,0.6021768,1
0.49214643,0.6008895,1
0.48797476,0.5964462,1
0.48910612,0.59524155,1
0.49848396,0.6002744,1
0.49344623,0.6018011,1
0.4889905,0.5945822,1
0.4892214,0.5986507,1
0.4884544,0.5952696,1
0.4899462,0.5967516,1
0.49342656,0.59909713,1
0.49172795,0.59843236,1
0.4947111,0.5995563,1
0.48820361,0.5969335,1
0.49458116,0.6016447,1
0.48808852,0.59991515,1
0.48979557,0.5970815,1
0.48594648,0.59614706,1
0.48820794,0.5991865,1
0.5313118,0.6543039,2
0.5326117,0.6603643,2
0.53326374,0.66051173,2
0.5374893,0.66112006,2
0.53476644,0.65973693,2
0.53676057,0.66150415,2
0.5333039,0.6590581,2
0.54432565,0.661913,2
0.53226936,0.6593666,2
0.5318825,0.65617025,2
0.53429043,0.6591486,2
0.5412836,0.6662912,2
0.5309104,0.65750265,2
0.5266083,0.65346813,2
0.5244837,0.65607595,2
0.54477495,0.6683924,2
0.5402462,0.6584247,2
0.53969043,0.6629964,2
0.52783954,0.6568758,2
0.53321147,0.66046417,2
0.5391558,0.6581565,2
0.52853835,0.6509026,2
0.53990346,0.662064,2
0.5357076,0.66092813,2
0.52983296,0.65635306,2
0.53623027,0.6602678,2
0.54008746,0.6623191,2
0.52621835,0.66275585,2
0.5314486,0.65712184,2
0.5476435,0.6643966,2
0.527896,0.66080976,2
0.54402715,0.6597558,2
0.55020875,0.6667745,2
0.53325486,0.65835583,2
0.53739834,0.665057,2
0.5384949,0.66133904,2
0.5353726,0.6614605,2
0.5412519,0.66316164,2
0.5353533,0.6617487,2
0.53310734,0.6581228,2
0.5411411,0.6633545,2
0.34032327,0.5014691,3
0.34607968,0.5029289,3
0.34005877,0.5045053,3
0.34429038,0.50438446,3
0.34398967,0.5003,3
0.3420676,0.5003434,3
0.34546727,0.49833015,3
0.34296456,0.50357807,3
0.35020202,0.50165033,3
0.35334948,0.50523955,3
0.35123834,0.5026893,3
0.34556115,0.49943167,3
0.3440122,0.50497794,3
0.34508914,0.50418276,3
0.34326267,0.49816144,3
0.343527,0.5007305,3
0.3432797,0.49779662,3
0.33704266,0.50396097,3
0.33909935,0.50484127,3
0.352556,0.5048831,3
0.3390527,0.5052729,3
0.35795423,0.50519145,3
0.34866282,0.50327516,3
0.34292483,0.5011215,3
0.3411872,0.49895006,3
0.3496967,0.50322884,3
0.21854368,0.33817148,4
0.21863298,0.33946663,4
0.22283778,0.34113437,4
0.2228285,0.34052327,4
0.21757561,0.33623403,4
0.2165827,0.33975646,4
0.2185677,0.33988804,4
0.21916884,0.34745383,4
0.220744,0.33646825,4
0.21389912,0.34026855,4
0.21564502,0.33535677,4
0.21873459,0.34091812,4
0.2166524,0.34231138,4
0.22422996,0.34289145,4
0.21867964,0.33874568,4
0.21404812,0.33661425,4
0.21932203,0.3400643,4
0.21905197,0.3382008,4
0.21724185,0.3364694,4
0.21542397,0.33571893,4
0.21642722,0.33903587,4
0.20779523,0.33563992,4
0.22199313,0.3432181,4
0.22917044,0.34238183,4
0.21820232,0.33674926,4
0.2200995,0.33742493,4
0.21493435,0.33745223,4
0.21995401,0.3403595,4
0.23010378,0.33790684,4
0.217781,0.3391749,4
0.21709517,0.34303695,4
0.22461426,0.33991146,4
0.22161771,0.33952153,4
0.21195115,0.3372783,4
0.21447244,0.33988267,4
0.22450718,0.3388799,4
0.21736127,0.34023696,4
0.22178817,0.34093904,4
0.22081657,0.3344642,4
0.21098503,0.33351433,4
0.21236292,0.33926576,4
0.30095196,0.4045624,5
0.29747027,0.40566963,5
0.29786327,0.40788576,5
0.30141103,0.40677395,5
0.29777476,0.40715432,5
0.30236527,0.3999483,5
0.30155882,0.40514678,5
0.30174547,0.40539712,5
0.30206594,0.40605968,5
0.29514354,0.40344214,5
0.29949242,0.4080885,5
0.29915303,0.40264592,5
0.30400163,0.40987694,5
0.29749963,0.39668977,5
0.29997337,0.40117505,5
0.29617134,0.39730054,5
0.30126897,0.40681392,5
0.2985225,0.40574688,5
0.30090544,0.40652388,5
0.30206513,0.40724674,5
0.30207795,0.40385005,5
0.29493153,0.40236214,5
0.2995445,0.4053399,5
0.3036758,0.40474278,5
0.30162895,0.39980313,5
0.2974109,0.4080395,5
0.29894942,0.40547445,5
0.29844183,0.40396118,5
0.30537894,0.4086734,5
0.30132878,0.40602466,5
0.29585972,0.40430415,5
0.29647738,0.40113956,5
0.2988595,0.40354967,5
0.3002713,0.40442508,5
0.29996276,0.40469742,5
0.30483535,0.4034921,5
0.29894054,0.40511125,5
0.29390252,0.40113175,5
0.30630216,0.39977658,5
0.29349357,0.40317073,5
0.29770312,0.40154487,5
0.29785427,0.40287837,5
0.29362,0.40586796,5
0.29772455,0.40323424,5
0.30287105,0.40308633,5
0.30270356,0.3990424,5
0.29672545,0.4057497,5
0.29869297,0.40974241,5
0.30029675,0.40215713,5
0.30440405,0.40493095,5
0.30063066,0.4051835,5
0.29866025,0.40631077,5
0.29167417,0.39988953,5
0.30046603,0.39943776,5
0.3026391,0.40798113,5
0.29486576,0.40348166,5
0.3002291,0.40567774,5
0.29729602,0.40139437,5
0.30416867,0.41022438,5
0.29825327,0.40506607,5
0.29778114,0.4047772,5
0.29230186,0.40075803,5
0.30150324,0.40727755,5
0.30399954,0.40859908,5
0.30131948,0.40342915,5
0.29787517,0.40434885,5
0.29593924,0.3978628,5
0.3014209,0.40773115,5
0.2965347,0.40443102,5
0.3020782,0.4034767,5
0.30177867,0.40121108,5
0.2985457,0.40381843,5
0.30008644,0.4026726,5
0.3003689,0.40810046,5
0.3000944,0.41016942,5
0.3018211,0.40517145,5
0.30176032,0.40549335,5
0.3015818,0.40663287,5
0.30489367,0.40884283,5
0.3011362,0.40973014,5
0.29965812,0.40302265,5
0.29376993,0.40283012,5
0.017882675,0.013441235,6
0.019921988,0.020091534,6
0.019192457,0.011197001,6
0.016561508,0.018130958,6
0.012772948,0.0076037645,6
0.016683728,0.016423345,6
0.019104362,0.017392844,6
0.016358435,0.008964807,6
0.023980588,0.014702857,6
0.019924223,0.020457357,6
0.017582953,0.018772572,6
0.009218216,0.0043611825,6
0.018623918,0.012038499,6
0.018131137,0.015386969,6
0.023738474,0.027265131,6
0.019307435,0.016920567,6
0.016773492,0.011637121,6
0.019505411,0.01921773,6
0.020246476,0.017274976,6
0.015989065,0.015248507,6
0.01597169,0.009655744,6
0.020786911,0.020075202,6
0.025308102,0.020404577,6
0.017622858,0.012335718,6
0.023524195,0.023000121,6
0.024149865,0.021238476,6
0.01989603,0.011232644,6
0.01082921,0.008280784,6
0.023428828,0.025512367,6
0.02143845,0.018937528,6
0.020266742,0.019246131,6
0.02208826,0.022406876,6
0.017622918,0.019721895,6
0.011671394,0.005315274,6
0.016355038,0.008288473,6
0.022298515,0.018212438,6
0.022349805,0.024158448,6
0.008248329,0.0032179654,6
0.015418649,0.0057061017,6
0.017816126,0.018550366,6
0.017688751,0.013938099,6
0.0138141215,0.010981709,6
0.027516752,0.021769613,6
0.019150525,0.015716642,6
0.011346996,0.010422945,6
0.017283738,0.015580237,6
0.022797555,0.0122921765,6
0.010891676,0.0005130172,6
0.032434046,0.034171283,6
0.02714181,0.02486068,6
0.021455735,0.02563116,6
0.0203332,0.021874845,6
0.025638342,0.030692488,6
0.011563033,0.0046102703,6
0.018807113,0.017009705,6
0.012307584,0.015843332,6
0.021654367,0.013799429,6
0.014391273,0.007374853,6
0.017335624,0.012989283,6
0.015482008,0.012010515,6
0.022071898,0.023041397,6
0.024245739,0.019104958,6
0.016143113,0.0017361641,6
0.018593162,0.013353497,6
0.018653423,0.0107834935,6
0.014062703,0.008568108,6
0.021404088,0.024256349,6
0.017479569,0.006748557,6
0.022393197,0.021195143,6
0.009123206,0.012474984,6
0.007711768,0.0053881705,6
0.010541022,0.014101982,6
0.023391724,0.021386206,6
0.011579275,0.0044865906,6
0.013209641,0.0076037347,6
0.01625669,0.019933015,6
0.014557362,0.013103753,6
0.020159513,0.021414787,6
0.023434639,0.01884687,6
0.020661473,0.013293892,6
0.017997593,0.01371637,6
0.01919797,0.009945691,6
0.022633493,0.018549412,6
0.016265422,0.015371412,6
0.014725089,0.01256606,6
0.020175278,0.016944885,6
0.015277386,0.017076522,6
0.0,0.0,6
0.012329251,0.0095460415,6
0.009921759,0.008252978,6
