Number of Blocks,sa,comm_cost_Greedy,slots_greedy,comm_cost_and_slots_greedy
5000,92353,0,0,0
10000,186652,12,20,6
15000,282773,20,48,14
20000,378420,22,100,22
25000,478580,42,156,24
30000,574594,50,168,36
35000,669696,74,188,46
40000,768196,84,200,56
45000,868356,112,236,62
50000,969371,136,244,88
