Number of Blocks,sa,comm_cost_Greedy,slots_greedy,comm_cost_and_slots_greedy
5000,90767,0,0,0
10000,182696,12,74,8
15000,278351,36,86,16
20000,375840,72,94,36
25000,470735,88,104,52
30000,566116,112,132,62
35000,659167,136,172,70
40000,754579,192,230,84
45000,846909,206,278,132
50000,948752,218,318,186
